survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,3,male,32.0,0,0,7.3125,S,Third,man,True,Southampton,no,True
0,3,male,30.0,0,0,8.6625,C,First,man,True,Cherbourg,no,True
0,3,female,21.0,8,2,69.55,C,First,woman,True,Cherbourg,yes,False
1,1,female,34.0,0,1,55.0,Q,Third,woman,False,Queenstown,yes,False
0,1,male,60.0,0,0,25.925,S,Second,man,True,Southampton,no,True
0,3,male,26.0,3,1,25.4667,C,First,man,True,Cherbourg,no,False
0,3,male,26.0,8,2,69.55,S,First,man,False,Southampton,no,False
0,2,male,29.0,0,0,15.05,C,Third,man,True,Cherbourg,yes,True
0,1,male,49.0,0,0,50.0,S,Third,man,True,Southampton,no,True
1,3,female,29.0,1,0,15.5,S,Third,woman,False,Southampton,no,False
0,3,female,48.0,0,0,7.75,C,Third,child,True,Cherbourg,yes,True
1,3,female,19.0,0,0,7.75,S,Third,woman,False,Southampton,no,True
0,3,female,21.0,8,2,69.55,S,Second,woman,True,Southampton,no,False
0,3,male,34.0,1,0,7.75,C,Third,man,True,Cherbourg,no,False
0,3,female,27.0,0,0,7.8958,C,Second,child,True,Cherbourg,yes,True
0,3,female,27.0,3,1,25.4667,Q,Third,woman,False,Queenstown,yes,False
0,3,male,32.0,0,0,7.55,S,Third,man,False,Southampton,no,True
0,3,male,28.0,1,0,14.4542,Q,Third,man,False,Queenstown,no,False
1,3,female,29.0,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False
0,3,male,32.0,0,0,7.25,C,Third,man,True,Cherbourg,no,True
1,1,female,30.0,0,0,79.2,S,Third,woman,False,Southampton,no,True
0,3,male,48.0,0,0,7.75,S,Third,child,True,Southampton,no,True
0,3,male,28.0,0,0,7.75,S,Third,man,False,Southampton,no,True
0,1,female,56.0,0,0,31.0,C,First,woman,True,Cherbourg,yes,True
1,3,female,19.0,0,0,7.75,S,Second,woman,False,Southampton,yes,True
0,2,male,35.0,0,0,0.0,C,First,man,True,Cherbourg,no,True
0,1,male,60.0,0,0,26.0,S,First,man,True,Southampton,yes,True
0,1,female,39.0,0,0,27.7208,S,Second,woman,True,Southampton,yes,True
1,1,male,36.0,0,0,30.5,C,Third,man,True,Cherbourg,no,True
1,3,female,19.0,0,0,7.75,S,Second,child,False,Southampton,yes,True
1,3,male,25.0,2,0,23.25,S,Third,child,True,Southampton,no,False
1,2,male,34.0,0,0,12.35,C,Third,man,False,Cherbourg,no,True
0,3,female,31.0,0,0,8.05,,First,woman,True,,yes,True
1,1,male,32.0,0,0,110.8833,S,First,man,False,Southampton,no,True
0,3,male,21.0,8,2,69.55,S,Third,child,True,Southampton,no,False
1,3,male,25.0,2,0,23.25,C,First,man,False,Cherbourg,no,False
1,1,male,37.0,1,0,133.65,C,Third,man,False,Cherbourg,yes,False
0,3,female,27.0,0,0,7.8958,S,Second,woman,True,Southampton,yes,True
1,3,male,25.0,1,0,16.1,S,Third,man,False,Southampton,no,False
0,1,female,56.0,0,0,35.0,S,Third,woman,True,Southampton,yes,True
0,3,male,36.0,0,0,7.225,S,Third,man,True,Southampton,no,True
1,3,male,21.0,0,0,7.8792,S,Second,man,False,Southampton,no,True
1,3,female,21.0,0,0,7.8792,S,Third,woman,False,Southampton,no,True
0,3,male,36.0,1,0,15.5,S,Second,man,True,Southampton,no,False
1,3,male,18.0,0,0,7.2292,C,Third,man,False,Cherbourg,no,True
1,3,male,19.0,0,0,7.75,S,Third,man,False,Southampton,yes,True
1,1,male,39.0,1,0,82.1708,S,Third,man,False,Southampton,no,False
0,3,male,27.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
0,3,male,30.0,0,0,7.7292,S,Third,man,True,Southampton,no,True
0,3,male,27.0,3,1,25.4667,S,Second,child,False,Southampton,yes,False
0,3,female,27.0,0,0,7.8958,S,Third,woman,True,Southampton,yes,True
0,3,male,24.0,0,0,6.8583,S,Third,man,True,Southampton,no,True
0,2,male,35.0,0,0,0.0,S,Third,man,True,Southampton,yes,True
0,3,female,29.0,0,0,8.05,Q,Third,woman,False,Queenstown,yes,True
0,3,male,34.0,0,0,7.8958,S,First,man,True,Southampton,no,True
0,3,female,32.0,0,0,7.25,S,Second,woman,True,Southampton,yes,True
0,3,female,48.0,0,0,7.75,S,Third,woman,True,Southampton,yes,True
1,3,male,25.0,1,0,16.1,S,Third,man,False,Southampton,no,False
1,3,male,23.0,0,0,8.1125,S,Third,man,True,Southampton,no,True
0,3,female,25.0,1,0,19.9667,S,First,woman,True,Southampton,yes,False
0,3,male,31.0,0,0,8.05,S,Third,man,True,Southampton,no,True
1,1,male,38.0,1,0,51.8625,S,Third,man,False,Southampton,no,False
0,3,male,48.0,0,0,7.75,S,Third,man,True,Southampton,no,True
0,3,male,31.0,0,0,8.05,S,First,man,True,Southampton,no,True
0,2,male,35.0,0,0,0.0,S,Third,man,True,Southampton,no,True
0,3,male,30.0,0,0,7.725,S,Third,man,True,Southampton,no,True
0,3,male,32.0,0,0,7.25,S,Third,man,True,Southampton,no,True
0,1,male,47.0,0,0,52.0,C,First,man,True,Cherbourg,no,True
0,2,male,35.0,0,0,0.0,C,First,man,True,Cherbourg,yes,True
0,3,female,27.0,3,1,25.4667,S,Second,woman,False,Southampton,yes,False
0,3,male,25.0,1,0,19.9667,S,Second,man,True,Southampton,no,False
0,3,female,23.0,0,0,14.4583,S,Third,woman,True,Southampton,no,True
0,3,male,27.0,0,0,15.1,S,Third,man,True,Southampton,no,True
0,3,male,24.0,0,0,7.6292,S,First,man,False,Southampton,no,True
1,1,male,40.0,0,0,26.55,S,Third,man,True,Southampton,no,True
0,3,male,31.0,0,0,8.05,S,Third,man,True,Southampton,no,True
0,3,male,35.0,0,0,24.15,S,Third,man,True,Southampton,no,True
0,3,female,36.0,0,0,7.225,S,Third,woman,True,Southampton,yes,True
0,3,male,27.0,0,0,7.2292,S,Third,man,True,Southampton,yes,True
0,1,male,27.0,0,0,221.7792,S,Third,man,True,Southampton,no,True
0,3,female,27.0,0,0,7.2292,Q,Third,woman,True,Queenstown,yes,True
1,3,male,28.0,0,2,22.3583,S,First,man,False,Southampton,no,False
0,3,female,24.0,0,0,14.5,C,Third,child,True,Cherbourg,no,True
1,2,male,30.0,0,0,13.8625,S,Third,man,True,Southampton,no,True
0,3,female,37.0,0,0,7.8292,S,Third,woman,True,Southampton,no,True
0,1,female,27.0,0,0,227.525,C,Third,woman,True,Cherbourg,no,True
0,3,male,48.0,0,0,7.75,S,Third,man,True,Southampton,no,True
0,3,male,31.0,0,0,8.05,Q,Third,man,True,Queenstown,no,True
0,3,male,29.0,0,0,8.05,S,Second,man,False,Southampton,no,True
0,3,male,27.0,0,0,7.2292,C,First,man,True,Cherbourg,no,True
1,3,female,19.0,0,0,7.75,S,Third,child,False,Southampton,no,True
0,3,male,28.0,1,0,14.4583,S,Second,man,False,Southampton,no,False
0,3,male,33.0,0,0,8.7125,S,Third,man,True,Southampton,no,True
0,3,male,31.0,0,0,8.05,C,Second,man,True,Cherbourg,no,True
0,3,female,28.0,0,2,7.75,S,Second,woman,False,Southampton,yes,False
1,2,male,34.0,0,0,33.0,S,First,man,False,Southampton,no,True
0,3,male,36.0,0,0,7.225,C,Third,child,True,Cherbourg,yes,True
0,3,male,27.0,0,0,7.8958,Q,Third,man,True,Queenstown,no,True
0,1,male,44.0,0,0,42.4,S,Third,man,True,Southampton,yes,True
0,3,female,27.0,0,0,7.05,C,Third,woman,True,Cherbourg,yes,True
1,3,male,29.0,1,0,15.5,S,Third,man,False,Southampton,no,False
0,3,male,48.0,0,0,7.75,C,Third,man,True,Cherbourg,no,True
0,3,male,30.0,0,0,7.7333,S,Third,man,True,Southampton,no,True
0,1,female,42.0,0,0,0.0,S,Third,woman,True,Southampton,no,True
0,3,female,27.0,1,0,16.1,S,Second,woman,True,Southampton,yes,False
1,3,male,29.0,0,0,56.4958,S,Second,man,True,Southampton,no,True
0,3,male,36.0,0,0,7.55,C,Second,man,True,Cherbourg,no,True
0,3,female,27.0,0,0,7.8958,S,First,woman,True,Southampton,yes,True
1,3,male,21.0,0,0,7.8292,S,First,man,False,Southampton,no,True
0,3,male,27.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
0,3,male,29.0,0,0,7.775,C,First,man,True,Cherbourg,no,True
1,1,female,38.0,1,0,52.0,C,Third,woman,False,Cherbourg,no,False
0,2,female,35.0,0,0,0.0,S,Third,woman,True,Southampton,yes,True
0,3,female,25.0,0,0,8.1375,S,Third,woman,False,Southampton,yes,True
1,3,male,29.0,0,0,56.4958,Q,Third,man,True,Queenstown,no,True
1,3,male,17.0,0,0,7.7333,S,Second,man,False,Southampton,no,True
1,3,male,26.0,1,1,15.2458,S,Second,man,True,Southampton,no,False
0,1,male,58.0,0,0,26.55,S,Third,man,True,Southampton,yes,True
0,3,female,30.0,0,0,15.5,S,Third,child,True,Southampton,no,True
1,3,male,17.0,0,0,7.7375,S,Second,man,False,Southampton,no,True
0,2,male,35.0,0,0,0.0,S,Second,man,True,Southampton,no,True
0,3,male,27.0,0,0,7.8958,S,Second,man,True,Southampton,no,True
0,3,female,27.0,0,0,7.8958,S,First,woman,True,Southampton,yes,True
1,1,male,65.0,0,0,30.0,S,Third,man,True,Southampton,no,True
0,3,male,24.0,0,0,14.5,S,Third,man,True,Southampton,no,True
0,1,male,45.0,0,0,39.6,S,Third,man,True,Southampton,no,True
0,3,male,34.0,1,0,24.15,C,First,man,True,Cherbourg,no,False
0,3,female,36.0,0,0,7.225,Q,Third,woman,True,Queenstown,yes,True
0,3,male,48.0,0,0,7.75,S,Third,man,True,Southampton,no,True
0,3,male,30.0,0,0,7.7375,S,Third,man,True,Southampton,no,True
0,3,male,34.0,1,2,23.45,S,Third,man,True,Southampton,no,False
0,3,male,48.0,0,0,7.75,S,Third,man,True,Southampton,no,True
0,3,female,26.0,8,2,69.55,S,Second,woman,False,Southampton,yes,False
0,1,male,54.0,0,0,30.6958,S,Third,man,True,Southampton,no,True
0,1,male,42.0,0,0,0.0,S,Third,man,True,Southampton,no,True
0,3,male,25.0,0,0,6.95,S,Third,child,True,Southampton,no,True
0,3,male,31.0,0,0,56.4958,S,Third,child,True,Southampton,yes,True
1,3,female,30.0,0,0,7.75,S,First,woman,True,Southampton,yes,True
0,3,female,27.0,0,0,7.2292,S,Third,woman,True,Southampton,no,True
0,3,male,31.0,0,0,8.05,S,First,man,True,Southampton,no,True
1,1,male,37.0,0,0,29.7,S,Third,man,True,Southampton,no,True
0,3,male,21.0,8,2,69.55,S,First,man,True,Southampton,no,False
1,1,male,38.0,1,0,89.1042,Q,Third,child,False,Queenstown,no,False
0,3,female,27.0,0,0,7.2292,S,Third,child,True,Southampton,yes,True
0,3,male,26.0,8,2,69.55,S,Third,man,False,Southampton,no,False
0,3,male,25.0,0,0,9.5,C,First,man,True,Cherbourg,no,True
0,3,male,27.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
0,3,male,33.0,1,2,23.45,S,Third,man,False,Southampton,no,False
0,3,female,22.0,1,0,7.25,C,First,woman,True,Cherbourg,no,False
1,1,male,38.0,1,0,71.2833,S,Second,man,False,Southampton,no,False
1,3,male,26.0,0,0,7.925,S,Third,man,False,Southampton,no,True
1,1,female,35.0,1,0,53.1,S,Third,woman,False,Southampton,no,False
0,3,male,35.0,0,0,8.05,C,Second,man,True,Cherbourg,no,True
0,1,male,54.0,0,0,51.8625,S,Third,child,True,Southampton,no,True
0,3,male,2.0,3,1,21.075,S,Second,child,False,Southampton,yes,False
1,3,female,27.0,0,2,11.1333,S,Third,child,False,Southampton,yes,False
1,2,male,14.0,1,0,30.0708,S,First,man,False,Southampton,no,False
1,3,female,4.0,1,1,16.7,Q,Third,woman,False,Queenstown,yes,False
1,1,male,58.0,0,0,26.55,S,First,man,False,Southampton,yes,True
0,3,male,20.0,0,0,8.05,Q,Third,man,True,Queenstown,no,True
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False
0,3,female,14.0,0,0,7.8542,S,Second,woman,False,Southampton,yes,True
1,2,male,55.0,0,0,16.0,S,Second,man,False,Southampton,no,True
0,3,female,2.0,4,1,29.125,S,Third,woman,False,Southampton,yes,False
0,3,male,31.0,1,0,18.0,S,Second,child,False,Southampton,yes,False
0,2,female,35.0,0,0,26.0,C,First,woman,True,Cherbourg,yes,True
1,2,female,34.0,0,0,13.0,C,First,woman,True,Cherbourg,yes,True
1,3,male,15.0,0,0,8.0292,Q,Third,man,False,Queenstown,no,True
1,1,male,28.0,0,0,35.5,S,Third,man,True,Southampton,no,True
0,3,female,8.0,3,1,21.075,Q,Third,woman,False,Queenstown,yes,False
1,3,female,38.0,1,5,31.3875,S,Second,woman,False,Southampton,no,False
0,1,male,19.0,3,2,263.0,S,Third,man,True,Southampton,no,False
0,1,male,40.0,0,0,27.7208,S,Third,man,True,Southampton,no,True
0,2,male,66.0,0,0,10.5,S,Third,man,True,Southampton,no,True
0,1,male,28.0,1,0,82.1708,C,Third,man,True,Cherbourg,no,False
0,1,male,42.0,1,0,52.0,S,Third,man,True,Southampton,yes,False
0,3,female,21.0,0,0,8.05,S,Third,child,True,Southampton,no,True
0,3,male,18.0,2,0,18.0,S,Third,man,False,Southampton,no,False
1,3,male,14.0,1,0,11.2417,C,Third,man,False,Cherbourg,yes,False
0,3,female,40.0,1,0,9.475,Q,Third,woman,False,Queenstown,yes,False
0,2,male,27.0,1,0,21.0,C,First,man,False,Cherbourg,yes,False
1,2,male,3.0,1,2,41.5792,S,Third,man,False,Southampton,no,False
1,3,female,19.0,0,0,7.8792,S,Second,woman,False,Southampton,yes,True
0,3,male,18.0,1,0,17.8,S,Third,man,False,Southampton,no,False
0,3,male,7.0,4,1,39.6875,S,Second,man,False,Southampton,no,False
0,3,male,21.0,0,0,7.8,Q,Third,man,True,Queenstown,no,True
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False
1,2,female,29.0,1,0,26.0,S,Third,woman,False,Southampton,yes,False
0,1,male,65.0,0,1,61.9792,S,Second,man,True,Southampton,no,False
1,2,female,21.0,0,0,10.5,C,First,woman,False,Cherbourg,yes,True
0,3,male,28.0,0,0,7.2292,S,Second,man,True,Southampton,no,True
1,2,male,5.0,1,2,27.75,S,Third,man,False,Southampton,yes,False
0,3,male,11.0,5,2,46.9,S,Second,man,False,Southampton,no,False
0,3,male,22.0,0,0,7.2292,S,Third,man,True,Southampton,no,True
1,1,male,38.0,0,0,80.0,S,Third,man,False,Southampton,no,True
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,yes,False
0,3,male,4.0,3,2,27.9,S,Third,man,False,Southampton,no,False
1,2,male,29.0,0,0,10.5,S,Second,man,False,Southampton,yes,True
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True
1,3,male,17.0,4,2,7.925,S,Second,man,False,Southampton,no,False
0,3,female,26.0,2,0,8.6625,S,Third,woman,True,Southampton,no,False
0,2,female,32.0,0,0,10.5,S,First,woman,True,Southampton,yes,True
0,3,male,16.0,5,2,46.9,S,Third,man,False,Southampton,no,False
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True
0,3,female,26.0,1,0,14.4542,S,Third,child,True,Southampton,yes,False
1,3,male,32.0,0,0,56.4958,S,Second,man,True,Southampton,no,True
0,3,female,25.0,0,0,7.65,S,Third,woman,True,Southampton,no,True
1,2,male,1.0,0,2,29.0,S,Second,man,False,Southampton,no,False
1,3,female,30.0,0,0,12.475,S,Second,child,False,Southampton,yes,True
0,3,male,22.0,0,0,9.0,S,Second,man,True,Southampton,no,True
1,3,male,29.0,0,0,9.5,S,Second,man,True,Southampton,no,True
0,1,female,28.0,0,0,47.1,C,Third,woman,True,Cherbourg,no,True
1,2,female,17.0,0,0,10.5,Q,Third,woman,False,Queenstown,yes,True
1,3,male,33.0,3,0,15.85,S,Second,man,False,Southampton,no,False
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False
1,1,male,23.0,3,2,263.0,C,Third,man,False,Cherbourg,no,False
0,3,male,24.0,0,0,8.05,Q,First,man,True,Queenstown,no,True
0,3,female,29.0,0,0,8.05,S,Third,woman,True,Southampton,no,True
0,3,female,20.0,0,0,7.8542,S,Second,woman,True,Southampton,yes,True
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,yes,False
0,3,male,26.0,1,2,20.575,S,Second,man,True,Southampton,no,False
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True
0,1,female,71.0,0,0,34.6542,S,Third,woman,True,Southampton,no,True
1,1,male,23.0,0,1,63.3583,S,First,man,True,Southampton,no,False
1,2,male,34.0,0,1,23.0,S,Third,man,False,Southampton,no,False
0,2,female,34.0,1,0,26.0,S,Third,woman,True,Southampton,no,False
0,3,female,28.0,0,0,7.8958,C,Third,woman,False,Cherbourg,yes,True
0,1,female,21.0,0,1,77.2875,C,First,woman,True,Cherbourg,yes,False
0,3,female,33.0,0,0,8.6542,S,First,woman,True,Southampton,yes,True
0,3,female,37.0,2,0,7.925,C,First,woman,True,Cherbourg,yes,False
0,3,female,28.0,0,0,7.8958,S,Second,woman,True,Southampton,yes,True
1,3,male,21.0,0,0,7.65,Q,Third,man,False,Queenstown,no,True
0,3,male,38.0,0,0,7.8958,S,Third,child,True,Southampton,yes,True
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True
0,3,male,14.0,1,0,14.4542,S,First,man,False,Southampton,no,False
0,3,female,22.0,0,0,8.05,Q,Third,woman,True,Queenstown,no,True
0,3,male,20.0,1,0,9.825,S,Second,man,False,Southampton,no,False
0,3,male,17.0,0,0,14.4583,S,Third,man,False,Southampton,no,True
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,yes,True
0,3,female,70.0,0,0,7.75,S,First,woman,True,Southampton,yes,True
0,2,female,29.0,1,0,21.0,S,First,woman,True,Southampton,yes,False
0,1,male,24.0,0,1,247.5208,S,First,man,True,Southampton,no,False
0,3,male,2.0,4,2,31.275,S,Third,man,False,Southampton,yes,False
0,2,female,21.0,2,0,73.5,S,Second,woman,True,Southampton,yes,False
0,2,male,32.0,1,0,30.0708,C,First,man,True,Cherbourg,no,False
1,2,female,32.0,0,0,13.0,Q,Third,woman,False,Queenstown,yes,True
0,1,female,54.0,0,1,77.2875,S,First,woman,True,Southampton,yes,False
1,3,female,12.0,1,0,11.2417,S,Third,woman,False,Southampton,no,False
1,3,male,24.0,0,0,7.1417,S,Second,man,True,Southampton,no,True
0,3,male,45.0,0,0,6.975,Q,Third,child,True,Queenstown,no,True
0,3,female,33.0,0,0,7.8958,S,Third,woman,True,Southampton,yes,True
0,3,male,20.0,0,0,7.05,Q,Third,man,True,Queenstown,no,True
0,3,male,47.0,1,0,14.5,S,Third,man,False,Southampton,no,False
1,2,male,29.0,1,0,26.0,S,Third,man,False,Southampton,no,False
0,2,male,25.0,0,0,13.0,S,Third,man,True,Southampton,yes,True
0,2,male,23.0,0,0,15.0458,S,First,man,True,Southampton,no,True
1,1,male,19.0,0,2,26.2833,C,Third,man,False,Cherbourg,no,False
0,1,male,37.0,1,0,53.1,S,Third,man,True,Southampton,yes,False
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True
0,1,male,24.0,0,0,79.2,S,Second,man,True,Southampton,yes,True
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
1,3,female,24.0,1,0,15.85,S,First,woman,False,Southampton,yes,False
0,3,female,19.0,0,0,6.75,C,First,woman,True,Cherbourg,yes,True
0,2,male,18.0,0,0,11.5,C,Second,man,True,Cherbourg,no,True
0,2,female,19.0,1,1,36.75,S,Third,woman,True,Southampton,no,False
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,no,True
0,3,male,9.0,2,2,34.375,C,First,man,False,Cherbourg,no,False
0,2,male,36.0,0,2,26.0,C,Third,man,True,Cherbourg,no,False
0,2,female,42.0,0,0,13.0,S,First,child,True,Southampton,no,True
0,2,male,51.0,0,0,12.525,S,First,man,True,Southampton,yes,True
1,1,female,22.0,1,0,66.6,C,First,woman,False,Cherbourg,yes,False
0,3,female,56.0,0,0,8.05,Q,Third,woman,True,Queenstown,yes,True
0,3,male,40.0,0,2,14.5,Q,Third,man,True,Queenstown,yes,False
0,1,male,51.0,0,1,61.3792,S,Third,man,True,Southampton,no,False
1,3,female,16.0,0,0,7.7333,Q,Second,woman,False,Queenstown,yes,True
0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True
0,3,male,44.0,0,1,16.1,S,First,child,True,Southampton,yes,False
1,2,female,40.0,0,0,15.75,C,First,woman,False,Cherbourg,yes,True
0,3,female,26.0,0,0,7.775,C,First,woman,True,Cherbourg,yes,True
0,3,male,17.0,0,0,8.6625,C,Second,man,True,Cherbourg,no,True
0,3,female,1.0,4,1,39.6875,C,First,woman,False,Cherbourg,yes,False
1,3,female,9.0,0,2,20.525,C,First,woman,False,Cherbourg,yes,False
0,3,female,45.0,1,4,27.9,C,First,woman,False,Cherbourg,yes,False
0,3,female,28.0,0,0,56.4958,S,Second,woman,True,Southampton,no,True
0,1,male,61.0,0,0,33.5,S,Third,man,True,Southampton,no,True
0,3,male,4.0,4,1,29.125,S,Second,man,False,Southampton,no,False
1,3,female,1.0,1,1,11.1333,S,Third,woman,False,Southampton,yes,False
0,3,female,21.0,0,0,7.925,S,Second,woman,True,Southampton,yes,True
0,1,male,56.0,0,0,30.6958,S,Second,man,True,Southampton,no,True
0,3,female,18.0,1,1,7.8542,S,First,woman,True,Southampton,yes,False
0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,yes,True
0,2,male,30.0,0,0,13.0,S,Third,man,True,Southampton,no,True
0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True
0,3,female,9.0,4,2,31.3875,Q,Second,woman,False,Queenstown,yes,False
1,2,female,1.0,2,1,39.0,S,Second,woman,False,Southampton,yes,False
1,3,male,4.0,0,2,22.025,S,Third,man,False,Southampton,no,False
1,1,female,45.0,0,0,26.55,C,First,woman,True,Cherbourg,yes,True
0,3,male,40.0,1,1,15.5,S,Third,man,True,Southampton,no,False
0,3,female,36.0,0,0,7.8958,S,Second,woman,True,Southampton,yes,True
1,2,female,32.0,0,0,13.0,S,Third,woman,False,Southampton,yes,True
0,2,female,19.0,0,0,13.0,C,First,woman,True,Cherbourg,yes,True
1,3,female,19.0,1,0,7.8542,Q,Third,woman,False,Queenstown,yes,False
1,2,male,3.0,1,1,26.0,S,First,man,False,Southampton,no,False
1,1,male,44.0,0,0,27.7208,S,First,man,False,Southampton,no,True
1,1,male,58.0,0,0,146.5208,S,Third,man,False,Southampton,no,True
0,3,female,42.0,0,1,8.4042,S,First,woman,True,Southampton,yes,False
0,2,male,24.0,0,0,13.0,S,Third,man,False,Southampton,no,True
0,3,male,28.0,0,0,9.5,S,First,man,True,Southampton,no,True
0,3,female,34.0,0,0,6.4958,C,First,woman,True,Cherbourg,yes,True
0,3,male,46.0,0,0,7.225,S,Third,man,True,Southampton,yes,True
1,3,male,18.0,0,0,8.05,S,First,man,True,Southampton,no,True
0,3,male,2.0,0,1,10.4625,S,Second,child,False,Southampton,yes,False
0,3,female,32.0,1,0,15.85,S,First,woman,True,Southampton,yes,False
1,3,male,26.0,0,0,18.7875,S,Second,man,True,Southampton,no,True
1,3,male,16.0,0,0,7.75,S,Second,man,False,Southampton,no,True
1,1,male,40.0,0,0,31.0,S,Second,man,True,Southampton,no,True
0,3,female,24.0,0,0,7.05,S,Second,woman,True,Southampton,yes,True
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True
0,3,female,22.0,0,0,7.25,S,Third,woman,True,Southampton,yes,True
0,2,male,30.0,0,0,13.0,S,Third,child,True,Southampton,yes,True
1,1,male,31.0,1,0,113.275,S,Third,man,False,Southampton,no,False
1,3,male,27.0,0,0,7.925,S,Third,man,False,Southampton,no,True
0,2,male,42.0,1,0,27.0,S,First,man,True,Southampton,no,False
1,1,male,32.0,0,0,76.2917,C,Third,child,False,Cherbourg,no,True
0,2,male,30.0,0,0,10.5,S,Third,man,True,Southampton,no,True
1,3,male,16.0,0,0,8.05,C,Third,man,True,Cherbourg,no,True
0,2,male,27.0,0,0,13.0,S,Third,man,True,Southampton,no,True
0,3,female,51.0,0,0,8.05,S,First,woman,True,Southampton,yes,True
1,1,female,38.0,1,0,90.0,S,Second,woman,True,Southampton,no,False
0,3,female,22.0,0,0,9.35,Q,Third,woman,True,Queenstown,yes,True
1,2,female,19.0,0,0,10.5,Q,Third,woman,True,Queenstown,yes,True
0,3,male,20.0,0,0,7.25,S,Third,man,True,Southampton,no,True
0,2,male,18.0,0,0,13.0,C,Second,man,True,Cherbourg,no,True
1,1,female,35.0,1,0,83.475,C,Third,woman,False,Cherbourg,no,False
0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True
0,2,male,59.0,0,0,13.5,Q,Third,man,True,Queenstown,no,True
1,3,male,5.0,4,2,31.3875,S,Third,man,False,Southampton,no,False
0,2,female,24.0,0,0,10.5,C,First,woman,True,Cherbourg,yes,True
0,2,female,44.0,1,0,26.0,C,Third,woman,True,Cherbourg,yes,False
1,2,female,8.0,0,2,26.25,Q,Third,woman,False,Queenstown,yes,False
0,2,female,19.0,0,0,10.5,C,First,woman,True,Cherbourg,yes,True
0,2,male,33.0,0,0,12.275,C,First,man,True,Cherbourg,yes,True
